latitude,longitude,temperature_2m_mean,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_max,month,day_of_year
37.92,9.89,15.8,82,0.0,24.4,1,4
36.51,17.88,16.3,69,0.3,18.3,1,7
40.5363,17.16712,11.9,81,0.0,13.0,1,4
41.22328,16.27019,10.9,88,0.0,14.7,1,4
37.75138,15.03119,-0.3,93,0.7,5.4,1,7
40.51973,17.20548,11.2,84,0.0,12.3,1,7
39.08,17.91,15.4,78,0.0,27.2,1,6
38.20454,15.26492,12.7,83,0.0,7.6,1,3
40.51069,17.20899,11.3,83,0.0,11.9,1,6
40.50838,17.21087,10.5,90,0.0,9.9,1,8
40.50891,17.21346,11.4,85,0.0,10.4,1,5
38.19,16.2,13.6,69,0.0,6.3,1,1
37.08,6.32,16.0,59,0.0,10.0,1,3
39.58,11.99,15.4,77,0.5,16.5,1,7
37.94,11.14,16.6,85,0.0,25.2,1,1
42.08,8.8,8.8,79,0.0,6.1,1,3
37.75683,15.02304,-3.2,90,1.8,6.2,1,6
45.7815,8.68403,7.7,85,0.0,7.6,1,4
40.62862,18.00053,11.3,92,0.0,9.4,1,2
45.21,13.84,9.4,95,0.0,7.3,1,4
37.57,11.1,16.0,74,0.0,25.5,1,6
37.25,7.64,16.0,67,0.0,22.0,1,8
39.28,17.35,14.4,81,0.0,29.2,1,8
44.32,9.17,10.3,95,68.1,24.0,1,8
38.90536,16.50627,11.2,79,0.0,10.7,1,1
40.50523,17.20785,11.4,85,0.0,10.4,1,5
38.79467,15.21316,10.7,75,0.6,15.5,1,5
37.46,18.44,16.7,78,0.6,16.4,1,1
46.27,6.53,3.0,67,0.0,7.6,1,7
44.71,16.99,8.6,75,0.0,22.5,1,8
38.35,12.8,16.1,75,0.0,15.7,1,1
38.93,12.46,15.8,76,0.0,17.9,1,4
42.45,7.62,15.2,87,0.1,9.6,1,3
39.08308,9.01663,13.3,82,0.0,9.2,1,5
37.74898,15.00801,-3.2,83,0.0,8.3,1,1
38.20383,15.26809,13.4,86,1.8,12.4,1,7
40.50781,17.20988,11.0,87,0.0,6.9,1,1
41.67779,14.99151,9.4,83,0.0,25.5,1,8
40.71,6.33,15.7,71,0.2,35.5,1,6
43.66,13.23,9.1,96,0.0,12.0,1,4
42.13,9.2,7.3,84,0.0,6.2,1,7
37.29,18.75,16.5,70,0.0,19.1,1,3
36.11,12.26,17.2,73,0.0,18.5,1,2
40.50854,17.20488,11.3,83,0.0,11.9,1,6
41.39,11.58,15.0,78,0.2,25.9,1,6
